epochs steps out_loss offset_loss train_accuracy time
7 3 1.313 2.986 0.558 154.616
7 4 1.888 3.264 0.514 154.858
7 5 1.224 2.942 0.579 155.080
7 6 1.623 2.941 0.510 155.282
7 7 1.409 3.060 0.579 155.502
7 8 1.854 3.149 0.395 155.698
7 9 1.536 3.043 0.536 155.906
7 10 1.656 3.114 0.587 156.118
7 11 1.237 3.015 0.645 156.331
7 12 1.134 2.831 0.616 156.534
7 13 0.932 2.887 0.665 156.763
7 14 1.317 3.150 0.636 156.975
7 15 1.402 3.046 0.581 157.271
7 16 1.781 3.098 0.444 157.461
7 17 1.243 2.924 0.633 157.695
7 18 1.583 2.957 0.537 157.893
7 19 1.516 3.003 0.608 158.167
7 20 1.495 3.117 0.598 158.414
7 21 1.642 3.073 0.574 158.650
7 22 1.450 3.208 0.595 158.906
7 23 1.391 2.994 0.626 159.099
7 24 1.441 3.034 0.700 159.350
7 25 1.433 3.062 0.640 159.568
7 26 1.480 2.908 0.651 159.786
7 27 1.675 3.060 0.556 159.981
7 28 1.688 2.968 0.515 160.194
7 29 1.646 3.017 0.575 160.411
7 30 0.954 2.911 0.777 160.619
7 31 1.221 2.846 0.723 160.818
7 32 1.593 2.859 0.580 161.027
7 33 1.569 3.151 0.619 161.230
7 34 1.164 2.833 0.708 161.431
7 35 1.887 3.087 0.516 161.617
7 36 1.475 2.712 0.611 161.811
7 37 1.697 2.915 0.532 162.011
7 38 1.864 2.996 0.464 162.215
7 39 1.521 2.942 0.655 162.393
7 40 1.403 3.179 0.642 162.582
7 41 1.120 2.761 0.693 162.773
7 42 1.203 3.102 0.686 162.990
7 43 1.310 2.893 0.618 163.172
7 44 1.215 2.788 0.643 163.372
7 45 1.903 2.951 0.487 163.552
7 46 1.777 2.968 0.539 163.738
7 47 1.719 3.132 0.573 163.928
7 48 1.543 2.572 0.604 164.117
7 49 1.354 2.877 0.567 164.311
8 0 1.425 3.059 0.611 175.279
8 1 1.443 2.835 0.573 175.490
8 2 1.451 2.853 0.606 175.744
8 3 1.570 2.796 0.596 176.002
8 4 1.144 3.021 0.695 176.216
8 5 1.687 2.739 0.632 176.424
8 6 1.602 3.082 0.610 176.688
8 7 1.579 3.014 0.530 176.936
8 8 1.442 2.820 0.644 177.182
8 9 1.535 2.860 0.566 177.378
8 10 1.304 2.936 0.713 177.576
8 11 1.077 2.938 0.769 177.814
8 12 1.411 2.825 0.650 178.047
