epochs steps out_loss offset_loss train_accuracy time
7 48 1.308 2.946 0.693 174.979
7 49 1.188 3.216 0.703 175.211
8 0 1.620 2.967 0.588 185.993
8 1 0.853 2.824 0.760 186.213
8 2 1.599 2.979 0.587 186.465
8 3 1.189 2.641 0.618 186.685
8 4 1.142 2.911 0.700 186.930
8 5 1.186 2.736 0.673 187.148
8 6 1.894 2.884 0.544 187.401
8 7 1.311 2.843 0.677 187.623
8 8 1.619 2.873 0.544 187.828
8 9 1.054 2.902 0.659 188.097
8 10 1.412 2.842 0.676 188.376
8 11 0.947 2.836 0.681 188.613
8 12 1.357 3.112 0.618 188.832
8 13 1.214 2.660 0.687 189.045
8 14 1.576 2.943 0.651 189.248
8 15 1.242 2.779 0.669 189.477
8 16 1.797 3.000 0.574 189.721
8 17 1.302 2.970 0.658 189.958
8 18 1.200 2.833 0.611 190.175
8 19 1.391 2.749 0.620 190.400
8 20 1.738 2.701 0.655 190.635
8 21 1.047 2.833 0.710 190.875
8 22 1.275 2.810 0.624 191.101
8 23 1.086 2.804 0.727 191.346
8 24 1.470 2.728 0.600 191.560
8 25 1.536 2.933 0.632 191.793
8 26 1.281 2.748 0.719 192.013
8 27 1.282 2.972 0.632 192.243
8 28 0.832 2.705 0.774 192.468
8 29 1.185 2.913 0.673 192.726
8 30 1.887 3.065 0.549 192.956
8 31 1.139 2.761 0.693 193.171
8 32 1.775 3.398 0.513 193.388
8 33 1.396 2.918 0.696 193.595
8 34 1.419 2.833 0.651 193.807
8 35 1.120 2.718 0.764 194.001
8 36 1.087 2.842 0.699 194.222
8 37 1.485 2.925 0.541 194.430
8 38 0.881 2.773 0.759 194.684
8 39 1.472 2.934 0.601 194.896
8 40 1.229 2.903 0.711 195.104
8 41 1.286 2.808 0.706 195.311
8 42 1.162 2.833 0.740 195.521
8 43 1.307 2.720 0.641 195.733
8 44 1.018 2.809 0.762 195.937
8 45 1.325 2.861 0.741 196.142
8 46 1.487 2.847 0.586 196.362
8 47 1.017 2.724 0.744 196.594
8 48 1.480 2.945 0.616 196.798
8 49 1.596 3.082 0.520 196.981
9 0 1.392 2.740 0.643 207.865
9 1 1.244 2.911 0.638 208.053
9 2 1.575 3.004 0.557 208.353
9 3 1.696 3.175 0.534 208.567
9 4 1.365 2.888 0.537 208.812
9 5 1.236 2.893 0.665 209.078
9 6 1.644 3.046 0.594 209.312
9 7 1.658 2.764 0.615 209.510
9 8 1.061 2.913 0.704 209.742
9 9 1.247 2.838 0.658 209.996
9 10 1.208 2.852 0.695 210.201
9 11 1.415 3.029 0.638 210.421
9 12 1.406 3.026 0.599 210.651
9 13 1.205 2.881 0.696 210.863
9 14 1.427 2.872 0.584 211.081
9 15 1.032 2.665 0.692 211.301
9 16 1.395 2.888 0.634 211.509
9 17 0.782 2.772 0.804 211.755
9 18 1.604 2.964 0.582 211.994
9 19 1.064 2.657 0.722 212.271
9 20 0.943 2.783 0.745 212.486
9 21 1.489 2.947 0.590 212.705
9 22 1.086 3.008 0.715 212.994
9 23 1.394 2.812 0.583 213.245
9 24 1.561 2.952 0.512 213.487
9 25 1.199 3.003 0.723 213.710
9 26 1.203 2.766 0.694 213.941
9 27 1.484 2.994 0.600 214.259
9 28 1.383 2.745 0.695 214.486
9 29 1.711 2.760 0.655 214.742
9 30 1.503 2.714 0.590 214.941
9 31 1.301 2.743 0.652 215.246
9 32 1.254 2.977 0.710 215.473
9 33 1.210 3.056 0.669 215.705
9 34 0.959 2.679 0.778 215.942
9 35 0.989 2.639 0.794 216.152
9 36 0.979 2.552 0.773 216.367
9 37 1.241 2.566 0.680 216.580
9 38 1.164 2.603 0.726 216.789
9 39 1.344 2.664 0.652 217.044
9 40 1.109 2.562 0.757 217.272
9 41 1.271 2.830 0.683 217.516
9 42 1.149 2.724 0.704 217.760
9 43 1.229 2.589 0.696 218.004
9 44 1.471 2.525 0.632 218.227
9 45 0.951 2.504 0.782 218.428
9 46 1.496 2.724 0.635 218.686
9 47 0.984 2.734 0.747 218.919
9 48 1.415 2.910 0.677 219.167
9 49 0.957 2.766 0.766 219.408
10 0 1.612 3.064 0.601 232.571
10 1 1.028 2.766 0.766 232.830
10 2 1.655 2.859 0.552 233.150
10 3 0.847 2.752 0.813 233.410
10 4 1.160 2.782 0.723 233.627
10 5 1.805 3.102 0.493 233.841
10 6 1.013 2.981 0.736 234.058
10 7 1.675 2.841 0.477 234.289
10 8 1.494 2.807 0.642 234.490
10 9 0.976 2.794 0.747 234.786
10 10 1.523 2.772 0.559 235.021
10 11 1.621 2.603 0.618 235.227
10 12 1.419 2.836 0.593 235.431
10 13 1.738 2.854 0.569 235.655
10 14 0.940 2.750 0.692 235.882
10 15 1.215 2.696 0.674 236.096
10 16 1.294 2.856 0.612 236.328
10 17 1.245 2.622 0.631 236.542
10 18 1.458 2.883 0.548 236.742
10 19 1.232 2.787 0.674 236.950
10 20 1.966 3.205 0.439 237.176
10 21 1.110 2.736 0.609 237.388
10 22 1.413 2.642 0.573 237.622
10 23 1.326 2.645 0.613 237.838
10 24 1.334 2.742 0.653 238.084
10 25 1.127 2.910 0.673 238.352
10 26 1.039 2.709 0.730 238.569
10 27 1.482 2.642 0.564 238.826
10 28 1.520 2.965 0.585 239.023
10 29 1.530 2.862 0.569 239.236
10 30 1.468 2.863 0.658 239.429
10 31 1.350 2.594 0.672 239.652
10 32 1.505 2.768 0.604 239.881
10 33 1.189 2.953 0.709 240.078
10 34 1.177 2.588 0.669 240.283
10 35 1.424 2.718 0.685 240.473
10 36 1.309 2.813 0.662 240.671
10 37 1.610 2.846 0.627 240.881
10 38 1.139 2.641 0.796 241.103
10 39 1.592 2.947 0.506 241.314
10 40 1.123 2.725 0.686 241.514
10 41 1.070 2.818 0.752 241.734
10 42 1.496 2.643 0.623 241.953
10 43 1.426 2.744 0.664 242.154
10 44 1.492 2.739 0.599 242.347
10 45 1.317 2.934 0.708 242.550
10 46 1.661 3.014 0.540 242.761
10 47 1.323 2.717 0.617 242.969
10 48 1.193 2.661 0.728 243.166
10 49 1.463 2.747 0.675 243.372
11 0 1.324 2.797 0.732 254.084
11 1 1.151 2.582 0.806 254.296
11 2 1.088 2.658 0.714 254.512
11 3 1.269 2.571 0.689 254.865
11 4 1.247 2.714 0.695 255.100
11 5 1.917 2.917 0.512 255.329
11 6 1.366 2.499 0.597 255.547
11 7 1.217 2.807 0.696 255.805
11 8 1.208 2.757 0.740 256.076
11 9 1.376 2.687 0.683 256.332
11 10 1.408 2.922 0.618 256.541
11 11 1.520 2.625 0.621 256.784
11 12 1.142 2.667 0.717 257.010
11 13 1.467 3.100 0.647 257.223
11 14 1.417 2.903 0.670 257.496
11 15 1.148 2.611 0.678 257.790
11 16 1.099 2.712 0.781 258.043
11 17 1.858 2.913 0.620 258.249
11 18 1.511 2.753 0.572 258.468
11 19 1.171 2.960 0.691 258.690
11 20 1.092 2.747 0.721 258.899
11 21 1.281 2.653 0.719 259.116
11 22 1.605 2.877 0.593 259.340
11 23 0.874 2.580 0.806 259.543
11 24 1.547 2.695 0.699 259.794
11 25 1.549 2.581 0.635 260.014
11 26 1.425 2.605 0.639 260.223
11 27 1.311 2.834 0.599 260.447
11 28 1.358 2.781 0.615 260.682
11 29 1.417 2.817 0.669 260.946
11 30 1.618 2.592 0.548 261.185
11 31 0.857 2.483 0.815 261.400
11 32 1.539 2.709 0.706 261.630
11 33 1.145 2.735 0.693 261.863
11 34 1.183 2.645 0.629 262.078
11 35 1.473 2.745 0.604 262.286
11 36 1.002 2.729 0.770 262.512
11 37 1.248 2.753 0.657 262.731
11 38 1.054 2.506 0.763 262.951
11 39 1.481 2.693 0.597 263.173
11 40 1.245 2.736 0.634 263.411
11 41 1.323 2.769 0.657 263.625
11 42 1.264 2.588 0.661 263.830
11 43 1.361 2.729 0.657 264.071
11 44 1.163 2.552 0.707 264.296
11 45 1.455 2.794 0.637 264.536
11 46 1.306 2.567 0.717 264.810
11 47 1.080 2.892 0.692 265.035
11 48 1.174 2.692 0.637 265.228
11 49 1.260 2.837 0.643 265.455
12 0 1.830 2.915 0.471 277.871
12 1 1.160 2.680 0.726 278.118
