epochs steps out_loss offset_loss train_accuracy time
7 25 1.161 3.020 0.590 155.941
7 26 1.020 2.967 0.661 156.167
7 27 1.298 2.772 0.576 156.366
7 28 0.900 2.800 0.693 156.632
7 29 1.003 2.984 0.680 156.851
7 30 1.091 2.843 0.626 157.091
7 31 1.212 3.104 0.600 157.336
7 32 1.209 3.111 0.651 157.556
7 33 1.034 2.886 0.728 157.768
7 34 0.813 2.743 0.759 157.984
7 35 0.941 2.798 0.655 158.191
7 36 1.460 3.123 0.476 158.397
7 37 1.355 3.000 0.628 158.600
7 38 1.046 2.894 0.698 158.799
7 39 0.917 2.845 0.718 159.046
7 40 1.336 3.007 0.525 159.255
7 41 0.925 3.016 0.707 159.462
7 42 0.966 2.784 0.680 159.681
7 43 1.132 2.935 0.666 159.897
7 44 1.074 2.934 0.675 160.106
7 45 1.143 2.961 0.666 160.302
7 46 1.198 2.895 0.639 160.536
7 47 0.882 2.688 0.745 160.747
7 48 1.053 3.029 0.711 160.962
7 49 1.052 2.953 0.641 161.185
8 0 1.181 3.149 0.543 171.540
8 1 1.152 2.875 0.661 171.744
8 2 0.966 2.934 0.711 172.320
8 3 1.060 2.825 0.645 172.544
8 4 1.049 3.019 0.684 172.778
8 5 1.396 2.945 0.556 173.032
8 6 1.115 2.944 0.701 173.325
8 7 0.799 2.866 0.720 173.528
8 8 1.310 2.960 0.601 173.820
8 9 0.979 2.988 0.708 174.044
8 10 1.212 3.154 0.645 174.265
8 11 0.697 2.809 0.783 174.504
8 12 0.992 2.879 0.671 174.701
8 13 0.986 2.915 0.728 174.905
8 14 1.212 2.806 0.666 175.130
8 15 1.143 2.780 0.630 175.376
8 16 0.855 2.766 0.725 175.605
8 17 0.903 2.987 0.723 175.808
8 18 1.298 3.030 0.588 176.027
8 19 1.177 2.916 0.649 176.232
8 20 1.172 2.858 0.609 176.502
8 21 1.044 2.747 0.707 176.702
8 22 1.058 2.745 0.647 176.926
8 23 0.769 2.756 0.740 177.149
8 24 1.138 2.809 0.703 177.378
8 25 1.049 2.770 0.670 177.598
8 26 1.054 2.937 0.671 177.814
8 27 0.910 2.593 0.738 178.034
8 28 0.617 2.735 0.796 178.278
8 29 1.263 2.805 0.585 178.485
8 30 1.186 2.981 0.599 178.726
8 31 1.138 3.094 0.623 178.923
8 32 1.324 2.735 0.541 179.157
8 33 1.365 2.960 0.525 179.386
8 34 1.081 2.682 0.657 179.597
8 35 0.938 2.753 0.690 179.791
8 36 0.684 2.896 0.816 180.053
8 37 0.764 2.682 0.799 180.289
8 38 1.404 2.817 0.557 180.506
8 39 0.994 2.843 0.699 180.727
8 40 0.940 2.759 0.701 180.938
8 41 1.071 2.964 0.653 181.153
8 42 0.848 2.620 0.702 181.363
8 43 1.275 2.935 0.659 181.620
8 44 0.857 2.988 0.671 181.835
8 45 1.074 2.819 0.692 182.043
8 46 1.172 2.928 0.617 182.269
8 47 0.958 3.112 0.693 182.510
8 48 1.401 3.018 0.556 182.728
8 49 1.326 2.745 0.538 182.941
9 0 1.608 3.097 0.505 193.149
9 1 0.821 2.967 0.765 193.360
9 2 0.924 2.682 0.676 193.624
9 3 0.786 2.514 0.764 193.873
9 4 0.990 2.806 0.665 194.118
9 5 0.734 2.780 0.758 194.343
9 6 1.057 2.983 0.668 194.603
9 7 1.101 2.891 0.628 194.854
9 8 1.109 2.734 0.652 195.188
9 9 1.034 2.754 0.656 195.478
9 10 0.936 2.879 0.732 195.706
9 11 0.897 2.829 0.721 195.959
9 12 1.011 3.069 0.690 196.173
9 13 0.827 2.936 0.793 196.399
9 14 1.273 3.058 0.675 196.682
9 15 0.987 2.904 0.684 196.962
9 16 1.112 3.098 0.683 197.174
9 17 1.155 2.646 0.635 197.454
9 18 1.450 2.886 0.528 197.662
9 19 1.137 2.927 0.635 197.909
9 20 0.853 2.780 0.710 198.114
9 21 0.693 2.781 0.787 198.315
9 22 1.091 2.764 0.663 198.523
9 23 1.248 2.894 0.589 198.755
9 24 0.809 2.906 0.767 198.972
9 25 0.942 2.682 0.708 199.187
9 26 0.953 2.828 0.670 199.415
9 27 0.952 2.856 0.680 199.628
9 28 0.826 2.738 0.721 199.840
9 29 0.917 2.780 0.710 200.043
9 30 0.938 2.770 0.713 200.254
9 31 1.127 2.763 0.594 200.470
9 32 1.044 2.899 0.631 200.677
9 33 0.977 2.655 0.734 200.886
9 34 1.137 2.742 0.636 201.105
9 35 0.888 2.788 0.720 201.325
9 36 1.647 3.035 0.520 201.541
9 37 0.977 3.132 0.694 201.738
9 38 1.638 3.035 0.471 201.943
9 39 0.988 2.722 0.706 202.152
9 40 1.458 2.963 0.503 202.349
9 41 0.952 2.702 0.685 202.555
9 42 1.160 2.977 0.609 202.760
9 43 1.039 2.708 0.714 202.972
9 44 0.823 2.784 0.719 203.174
9 45 0.909 2.794 0.700 203.382
9 46 1.288 2.693 0.646 203.586
9 47 0.789 2.579 0.793 203.788
9 48 1.173 2.715 0.637 203.980
9 49 0.957 2.523 0.724 204.206
10 0 1.019 2.842 0.656 213.626
10 1 1.030 2.934 0.676 213.876
10 2 0.999 2.683 0.652 214.109
10 3 1.045 2.654 0.661 214.328
10 4 1.265 2.961 0.616 214.539
10 5 1.384 2.958 0.521 214.741
10 6 1.063 2.679 0.663 215.048
10 7 1.404 2.843 0.520 215.332
10 8 1.396 2.995 0.565 215.607
10 9 0.897 2.597 0.685 215.828
10 10 1.134 2.841 0.634 216.036
10 11 1.144 2.661 0.638 216.254
10 12 0.872 2.709 0.758 216.517
10 13 0.905 2.711 0.640 216.755
10 14 0.882 2.707 0.690 217.008
10 15 1.322 2.751 0.594 217.255
10 16 0.998 2.571 0.638 217.485
10 17 0.902 2.880 0.699 217.720
10 18 0.687 2.943 0.821 217.966
10 19 0.870 2.570 0.759 218.197
10 20 0.652 2.619 0.846 218.430
10 21 0.886 2.419 0.694 218.635
10 22 1.480 2.833 0.498 218.864
10 23 1.296 2.960 0.610 219.081
10 24 1.111 2.659 0.654 219.283
10 25 0.873 2.589 0.689 219.501
10 26 0.883 2.830 0.710 219.745
10 27 0.727 2.559 0.771 219.968
10 28 1.349 2.799 0.541 220.193
10 29 1.047 2.853 0.655 220.417
10 30 0.869 2.827 0.722 220.625
10 31 0.831 2.773 0.746 220.830
10 32 0.940 2.708 0.738 221.046
10 33 0.953 2.850 0.674 221.251
10 34 1.222 2.637 0.597 221.484
10 35 1.333 3.076 0.551 221.678
10 36 0.522 2.584 0.891 221.864
10 37 1.125 3.035 0.629 222.057
10 38 1.487 2.951 0.465 222.240
10 39 0.907 2.634 0.743 222.432
